COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M	p_MF	N_M	N_MF
Predicted component of the type VI protein secretion system (PDB:5M2Y)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3522	GC_00006833	0	1	1	1
Transcriptional regulator TyrR of aromatic amino acids metabolism (TyrR) (PDB:1G2H)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3283	GC_00002641, GC_00002842	0	1	1	1
Protein N-terminal and lysine N-methylase, NNT1/EFM7 family (Nnt1) (PDB:3BZB) (PUBMED:23349634;26545399)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3897	GC_00007615	0	1	1	1
L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1139	GC_00004244	0	1	1	1
Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)!!!Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0586!!!COG0671	GC_00007028	0	1	1	1
Cytochrome c biogenesis protein CcmE (CcmE) (PDB:1J6Q)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2332	GC_00002340	0	1	1	1
Carbamate kinase (ArcC) (PDB:2E9Y)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0549	GC_00003835	0	1	1	1
DNA polymerase B elongation subunit (PolB) (PDB:6P1H)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0417	GC_00007740	0	1	1	1
Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)!!!Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0526!!!COG0682	GC_00004738	0	1	1	1
Branched-chain amino acid permease (BrnQ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1114	GC_00006659	0	1	1	1
Short chain fatty acids transporter (AtoE)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2031	GC_00001567	0	1	1	1
Sulfur transfer complex TusBCD TusE component, DsrC family (tRNA 2-thiouridine synthesizing protein C) (TusE) (PDB:1JI8)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2920	GC_00007657	0	1	1	1
Urea transporter (Utp)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4413	GC_00001601	0	1	1	1
N-acetylglucosaminyl deacetylase, LmbE family (LmbE) (PDB:1Q74)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2120	GC_00004985	0	1	1	1
Multisubunit Na+/H+ antiporter, MnhE subunit (MnhE) (PDB:6CFW)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1863	GC_00006925	0	1	1	1
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)!!!Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0662!!!COG1396	GC_00001282	0	1	1	1
Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain (YlmC) (PDB:1PM3)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1873	GC_00004792	0	1	1	1
Translation initiation factor 1 (eIF-1/SUI1) (SUI1) (PDB:1D1R)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0023	GC_00002940	0	1	1	1
DNA-binding protein, stimulates sugar fermentation (SfsA) (PDB:4DA2)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1489	GC_00005865	0	1	1	1
Type VI protein secretion system component TssA1/VasJ/EvfE, contains ImpA_N domain (TssA1) (PDB:6RIU)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3515	GC_00004766	0	1	1	1
ABC-type microcin C transport system, permease component YejB (YejB) (PUBMED:17873039)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4174	GC_00000272	0	1	1	1
Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)!!!Uncharacterized lipoprotein YddW, UPF0748 family (YddW) (PDB:5OQ2)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0726!!!COG1649	GC_00005495	0	1	1	1
Capsular polysaccharide biosynthesis protein	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4421	GC_00003517, GC_00007989	0	1	1	1
ABC-type enterochelin transport system, permease component (CeuC)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4605	GC_00001198	0	1	1	1
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria) (PtsA) (PDB:1EZA)!!!HPr or related phosphotransfer protein (PtsH) (PDB:1CM2)!!!Mannitol/fructose-specific phosphotransferase system, IIA domain (MtlA2) (PDB:1A3A)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1080!!!COG1925!!!COG4668	GC_00004082	0	1	1	1
Na+-translocating membrane ATPase (N-ATPase) assembly subunit AtpR (AtpR) (PUBMED:20472544)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5757	GC_00006686	0	1	1	1
Fe-S cluster assembly ATPase SufC (SufC) (PDB:2D3W)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0396	GC_00002820	0	1	1	1
23S rRNA G2445 N2-methylase RlmL (RlmL) (PDB:3V97) (PUBMED:22362734)!!!23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI (RlmK) (PDB:2B78)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0116!!!COG1092	GC_00006308	0	1	1	1
Predicted acyltransferase (OpgC)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4645	GC_00006117	0	1	1	1
Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2071	GC_00002091, GC_00003252	0	1	1	1
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB (McrB) (PDB:6HZ4)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1401	GC_00004634, GC_00005628	0	1	1	1
ABC-type Co2+ transport system, permease component (CbiM) (PDB:4M58) (PUBMED:25313401)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0310	GC_00008500	0	1	1	1
Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family (BcsL)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5653	GC_00003555	0	1	1	1
Chromate resistance protein ChrB1 (ChrB1)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4275	GC_00004135	0	1	1	1
Dual-topology membrane protein YdgC, GlpM family (GlpM) (PUBMED:7642508;16429150)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3136	GC_00005944	0	1	1	1
Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases (CysJ) (PDB:1YKG) (PUBMED:20118259)!!!Flavodoxin (FldA) (PDB:1AG9)!!!PepSY-associated TM region (PiuB) (PUBMED:15124630)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0369!!!COG0716!!!COG3182	GC_00007296	0	1	1	1
Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4783!!!COG5010	GC_00005647	0	1	1	1
Putative heme iron utilization protein, contains PNPOx domain (HugZ) (PDB:1VL7)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0748	GC_00002897	0	1	1	1
ssDNA abasic site-binding protein YedK/HMCES, SRAP family (SRAP) (PDB:1ZN6) (PUBMED:30554877;31504793)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2135	GC_00002722, GC_00003379	0	1	1	1
Monoamine oxidase (YobN) (PDB:1B37)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1231	GC_00006347	0	1	1	1
NAD dependent epimerase/dehydratase family enzyme (YfcH) (PDB:4B4O)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1090	GC_00007682	0	1	1	1
Phosphoenolpyruvate carboxykinase, ATP-dependent (PckA) (PDB:1AQ2)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1866	GC_00003397	0	1	1	1
Membrane protein MutK/YedI, may be involved in DNA repair (MutK) (PUBMED:9922251;10411738;31497001)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2354	GC_00008492	0	1	1	1
Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion (PAAR) (PDB:4JIV)!!!Phage-encoded DNA-binding protein ECs1768, contains HTH and DnaT DNA-binding domains (ECs1768)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4104!!!COG5529	GC_00001044	0	1	1	1
Predicted phage phi-C31 gp36 major capsid-like protein (gp36)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4653	GC_00005741	0	1	1	1
Sialic acid synthase SpsE, contains C-terminal SAF domain (SpsE) (PDB:1VLI)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2089	GC_00001903	0	1	1	1
NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains (NhaP2)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3263	GC_00007240	0	1	1	1
tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE (synthesis of 2-methylthio-cis-ribozeatin) (MiaE) (PDB:2ITB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4445	GC_00001271	0	1	1	1
Azurin (BlueCu)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3241	GC_00006876	0	1	1	1
Adenylate cyclase, class I (CyaA)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3072	GC_00003326	0	1	1	1
Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit (NuoL) (PDB:3RKO)!!!Multisubunit Na+/H+ antiporter, MnhB subunit (MnhB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1009!!!COG2111	GC_00005067	0	1	1	1
NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0446!!!COG1902	GC_00003951	0	1	1	1
Cytochrome c biogenesis protein CcmF (CcmF)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1138	GC_00003467	0	1	1	1
Glycine cleavage system regulator GcvR (GcvR) (PDB:1U8S)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2716	GC_00002617, GC_00004764	0	1	1	1
Glyoxalase ElbB, DJ-1 superfamily (ElbB) (PDB:1VHQ) (PUBMED:26678554)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3155	GC_00007437	0	1	1	1
Uncharacterized conserved protein, DUF3299 family (PDB:4HSP) (PUBMED:21378183)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3495	GC_00003737, GC_00007227	0	1	1	1
Na+-dependent transporter, SNF family (YocR) (PDB:2A65)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0733	GC_00006261	0	1	1	1
Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module (RelB) (PDB:4ML0)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3077	GC_00003447, GC_00003533	0	1	1	1
1,2-phenylacetyl-CoA epoxidase, catalytic subunit (YdbO) (PDB:1OTK)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3396	GC_00005649, GC_00005762	0	1	1	1
Uncharacterized conserved protein YbbK, DUF523 family (YbbK)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1683	GC_00003027	0	1	1	1
Cell division protein DedD (periplasmic protein involved in septation) (DedD)!!!Poly-beta-hydroxybutyrate synthase (PhaC) (PDB:5XAV)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3147!!!COG3243	GC_00002199	0	1	1	1
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)!!!Predicted amino acid dehydrogenase	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4992!!!COG5322	GC_00003910	0	1	1	1
Fermentation-respiration switch esterase FrsA, DUF1100 family (FrsA)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1073	GC_00004727, GC_00008296	0	1	1	1
Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1376	GC_00003528	0	1	1	1
ATP:corrinoid adenosyltransferase (BtuR) (PDB:4HUT)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2109	GC_00002466	0	1	1	1
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)!!!4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1082!!!COG3185	GC_00006339	0	1	1	1
Predicted alpha/beta hydrolase	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4757	GC_00006845	0	1	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2199!!!COG2202!!!COG2203	GC_00002601	0	1	1	1
Purine nucleoside phosphorylase (XapA) (PDB:1YQQ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0005	GC_00004197	0	1	1	1
Predicted component TssA of the type VI protein secretion system (TssB) (PDB:5N8N)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3516	GC_00003270	0	1	1	1
Predicted transcriptional regulator, contains ribbon-helix-helix (RHH_1) domain (PutA1) (PDB:6IYA)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3905	GC_00006180	0	1	1	1
Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family (AllD) (PDB:1NXU)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2055	GC_00003675, GC_00005847	0	1	1	1
Serine protease inhibitor ecotin (Eco) (PDB:1SLU)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4574	GC_00004787	0	1	1	1
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0457	GC_00004280	0	1	1	1
Pullulanase/glycogen debranching enzyme (PulA) (PDB:2WSK)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1523	GC_00008162	0	1	1	1
AAA+-type ATPase, SpoVK/Ycf46/Vps4 family (SpoVK) (PDB:3SYL)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0464	GC_00001751	0	1	1	1
CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Sensor histidine kinase WalK (WalK) (PDB:4I5S)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0784!!!COG5002	GC_00001913	0	1	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2199!!!COG2202	GC_00003502	0	1	1	1
Arginine/ornithine N-succinyltransferase beta subunit (AstA) (PDB:1YLE)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3138	GC_00001061, GC_00004454	0	1	1	1
Phage anti-repressor protein Ant (PUBMED:27099293)!!!Phage antirepressor protein YoqD, KilAC domain (KilAC)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3561!!!COG3645	GC_00001298	0	1	1	1
Phage tail tape-measure protein, controls tail length (HI1514)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3941	GC_00007306	0	1	1	1
Ca2+-binding protein, EF-hand superfamily (FRQ1) (PDB:2LHI)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5126	GC_00003519	0	1	1	1
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!HPt (histidine-containing phosphotransfer) domain (HPtr) (PDB:3IQT)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0642!!!COG0784!!!COG2198	GC_00003924, GC_00003976, GC_00006758	0	1	1	1
Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family (CvfB) (PDB:3GO5)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2996	GC_00004692	0	1	1	1
23S rRNA A1618 N6-methylase RlmF (RlmF) (PDB:2H00) (PUBMED:18021804)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3129	GC_00002971	0	1	1	1
Predicted membrane channel-forming protein YqfA, hemolysin III family (YqfA) (PDB:3WXV)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1272	GC_00003078	0	1	1	1
Predicted selenoprotein, Rdx family (PDB:2FA8)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3526	GC_00005392	0	1	1	1
Uncharacterized membrane-anchored protein YhcB, DUF1043 family (YhcB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3105	GC_00005807	0	1	1	1
Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily (YdcJ) (PDB:2RJB)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5383	GC_00000364	0	1	1	1
Uncharacterized lipoprotein YajG (YajG)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3056	GC_00002119	0	1	1	1
Cytochrome c-type biogenesis protein CcmH/NrfF (NrfF) (PDB:2HL7)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3088	GC_00004440	0	1	1	1
Ethanolamine ammonia-lyase, small subunit (EutC) (PDB:5YSN)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4302	GC_00005951	0	1	1	1
Stage II sporulation protein SpoIIM, component of the engulfment complex (SpoIIM)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1300	GC_00004621	0	1	1	1
Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain (YdeE)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3708	GC_00006170	0	1	1	1
Glutathionyl-hydroquinone reductase (ECM4) (PDB:6GCA)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0435	GC_00002138	0	1	1	1
PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3744	GC_00004342	0	1	1	1
Predicted DNA-binding protein with double-wing structural motif, MmcQ/YjbR family (MmcQ) (PDB:2A1V) (PUBMED:17266124)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2315	GC_00003518	0	1	1	1
Predicted metal-dependent hydrolase, TIM-barrel fold (PDB:3GUW)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1099	GC_00004186	0	1	1	1
Polyhydroxyalkanoate synthesis regulator phasin (PhaF)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3937	GC_00001961, GC_00008408	0	1	1	1
Isochorismate synthase EntC (MenF) (PDB:5JXZ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1169	GC_00004808	0	1	1	1
Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2905	GC_00007355	0	1	1	1
Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit (RnfD)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4658	GC_00005288	0	1	1	1
Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to HemY-type protoporphyrinogen oxidase) (HemYx)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3898	GC_00001580	0	1	1	1
23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family (RlhA) (PDB:5D88) (PUBMED:31253794;31358606)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0826	GC_00001427, GC_00004943	0	1	1	1
Glucokinase (Glk) (PDB:1Q18)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0837	GC_00006762	0	1	1	1
Uncharacterized conserved protein, DUF1513 domain	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3490	GC_00006029	0	1	1	1
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0662	GC_00004856, GC_00007674, GC_00007762	0	1	1	1
Uncharacterized conserved protein, DUF2390 domain	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5589	GC_00007410	0	1	1	1
Uncharacterized membrane protein YdcZ, DUF606 family (ydcZ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3238	GC_00004658, GC_00004855	0	1	1	1
Acireductone dioxygenase (methionine salvage), cupin superfamily (Adi1) (PDB:1VR3)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1791	GC_00004991	0	1	1	1
DNA topoisomerase IA (TopA) (PDB:1CY0)!!!DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0550!!!COG0551	GC_00004016	0	1	1	1
Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0503	GC_00003241, GC_00004092	0	1	1	1
DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0640!!!COG2226	GC_00001388	0	1	1	1
Phosphotransferase system, fructose-specific IIC component (FrwC)!!!Phosphotransferase system fructose-specific component IIB (FrwB) (PDB:5DLE)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1299!!!COG1445	GC_00006900	0	1	1	1
Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain (Atl1) (PDB:2KIF) (PUBMED:19516334)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3695	GC_00006062	0	1	1	1
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)!!!Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1086!!!COG2148	GC_00008258	0	1	1	1
Uncharacterized conserved protein YeaC, DUF1315 family (yeaC)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3139	GC_00002130	0	1	1	1
ABC-type oligopeptide transport system, periplasmic component (OppA) (PDB:1B05)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4166	GC_00001225, GC_00001583, GC_00007785	0	1	1	1
Na+/proline symporter (PutP) (PDB:5NVA)!!!Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0591!!!COG0642!!!COG0784!!!COG2202	GC_00001362	0	1	1	1
Periplasmic chaperone Spy, Spy/CpxP family (CpxP) (PDB:3ITF)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3678	GC_00003930	0	1	1	1
Uncharacterized conserved protein, DUF2076 domain	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3416	GC_00002330	0	1	1	1
Uncharacterized conserved protein, contains a phytase-like domain	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4222	GC_00003138	0	1	1	1
Sarcosine oxidase gamma subunit (SoxG)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4583	GC_00001544	0	1	1	1
Uncharacterized conserved protein YehS, DUF1456 family (YehS)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG4807	GC_00003627	0	1	1	1
Lipoate-protein ligase A (LplA) (PDB:4TVW)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0095	GC_00001686	0	1	1	1
Membrane-bound inhibitor of C-type lysozyme (MliC) (PDB:2F09)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3895	GC_00005696	0	1	1	1
1,4-alpha-glucan branching enzyme (GlgB) (PDB:4LPC) (PUBMED:25871919)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0296	GC_00003673	0	1	1	1
Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit (HyfB) (PDB:6CFW)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG0651	GC_00005083	0	1	1	1
Uncharacterized lipoprotein YbaY (YbaY) (PDB:5WEC)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3126	GC_00003505, GC_00005909	0	1	1	1
RecB family exonuclease (Slr0479)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2887	GC_00002626	0	1	1	1
Predicted nucleic acid-binding protein DR0291, contains C4-type Zn-ribbon domain (DR0291) (PDB:4ILO)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1579	GC_00005473	0	1	1	1
Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG3437	GC_00007213, GC_00008242	0	1	1	1
Dessication stress tolerance protein, LEA/WHy domain (LEA) (PUBMED:15598830;29802195)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG5608	GC_00004409	0	1	1	1
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!Extracytoplasmic sensor domain CHASE1 (specificity unknown) (CHASE1) (PDB:3T4J)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2199!!!COG2202!!!COG3614	GC_00003196	0	1	1	1
PAS domain (PAS) (PDB:2MWG)!!!K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG2202!!!COG2205	GC_00008347	0	1	1	1
3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	1.9999999999999991	0.15729920705028527	0.40904111070305105	MF	COG1250	GC_00004225, GC_00006591, GC_00008514	0	1	1	1
